Property ID,Building Type,Year Built,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Th50004443,Apartment,2004,2022-05-13,2,8876,957,6 out of 17,Carpet Area,Area 309,Noida,Furnished,Bachelors/Family,1,Contact Agent
Th50004444,Apartment,1999,2022-04-13,2,10719,846,5 out of 16,Plot Area,Area 516,Faridabad,Unfurnished,Bachelors/Family,3,Contact Agent
Th50004445,Apartment,2009,2022-04-21,1,7047,1060,5 out of 15,Built Area,Area 747,Chandigarh,Semi-Furnished,Family,2,Contact Owner
Th50004446,Apartment,2007,2022-05-20,1,11078,770,2 out of 11,Plot Area,Area 396,Bangalore,Furnished,Family,1,Contact Owner
Th50004447,Apartment,2011,2022-06-12,2,8160,641,5 out of 16,Super Area,Area 264,Agra,Unfurnished,Bachelors,1,Contact Owner
Th50004448,Apartment,1996,2022-06-26,1,12289,850,2 out of 12,Plot Area,Area 343,Indore,Unfurnished,Bachelors/Family,2,Contact Owner
Th50004449,Apartment,2013,2022-06-13,3,13164,882,9 out of 6,Plot Area,Area 860,Thane,Semi-Furnished,Family,2,Contact Agent
Th50004450,Apartment,1991,2022-04-25,1,6331,567,4 out of 16,Super Area,Area 212,Mangalore,Unfurnished,Bachelors,3,Contact Agent
Th50004451,Apartment,1994,2022-06-22,2,4903,683,1 out of 3,Carpet Area,Area 223,Bhopal,Semi-Furnished,Bachelors,1,Contact Owner
Th50004452,Apartment,2007,2022-04-16,2,4279,762,1 out of 14,Carpet Area,Area 239,Faridabad,Unfurnished,Family,1,Contact Owner
Th50004453,Apartment,2014,2022-07-05,2,6708,1057,3 out of 4,Built Area,Area 709,Ahmedabad,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50004454,Apartment,1991,2022-06-22,3,6694,502,6 out of 20,Carpet Area,Area 119,Mysore,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50004455,Apartment,2014,2022-05-28,2,24168,1215,6 out of 13,Built Area,Area 181,Patna,Unfurnished,Family,1,Contact Agent
Th50004456,Apartment,1992,2022-07-01,1,10502,938,4 out of 14,Super Area,Area 728,Faridabad,Unfurnished,Bachelors/Family,1,Contact Agent
Th50004457,Apartment,2003,2022-04-05,2,7805,712,10 out of 15,Carpet Area,Area 253,Varanasi,Unfurnished,Family,1,Contact Agent
Th50004458,Apartment,2010,2022-05-23,3,10144,868,5 out of 3,Plot Area,Area 956,Kalyan-Dombivli,Furnished,Family,2,Contact Owner
Th50004459,Apartment,2020,2022-04-16,2,9893,648,4 out of 3,Plot Area,Area 507,Varanasi,Furnished,Bachelors,1,Contact Agent
Th50004460,Apartment,1995,2022-06-04,3,10212,613,6 out of 9,Carpet Area,Area 463,Surat,Unfurnished,Family,1,Contact Agent
Th50004461,Apartment,2017,2022-04-28,2,6927,697,2 out of 3,Built Area,Area 532,Rajkot,Unfurnished,Bachelors,3,Contact Owner
Th50004462,Apartment,2011,2022-06-25,3,6164,802,4 out of 11,Built Area,Area 878,Surat,Unfurnished,Bachelors/Family,2,Contact Owner
Th50004463,Apartment,2001,2022-06-02,1,5509,565,7 out of 17,Carpet Area,Area 257,Surat,Unfurnished,Bachelors/Family,3,Contact Agent
Th50004464,Apartment,2010,2022-06-09,3,4212,837,9 out of 18,Built Area,Area 517,Faridabad,Furnished,Family,1,Contact Owner
Th50004465,Apartment,2012,2022-04-06,1,8094,1317,8 out of 6,Carpet Area,Area 561,Ahmedabad,Semi-Furnished,Family,1,Contact Agent
Th50004466,Apartment,2012,2022-04-10,1,9995,1134,2 out of 5,Super Area,Area 271,Patna,Furnished,Bachelors/Family,3,Contact Agent
Th50004467,Apartment,1993,2022-06-07,2,20934,1066,1 out of 19,Super Area,Area 911,Mumbai,Unfurnished,Family,3,Contact Owner
Th50004468,Apartment,1993,2022-05-05,3,19176,1091,2 out of 15,Built Area,Area 949,Vadodara,Semi-Furnished,Family,3,Contact Agent
Th50004469,Apartment,2018,2022-06-03,3,9636,1389,10 out of 9,Plot Area,Area 709,Amritsar,Furnished,Bachelors/Family,2,Contact Owner
Th50004470,Apartment,2010,2022-05-14,2,10513,942,7 out of 6,Super Area,Area 351,Lucknow,Semi-Furnished,Bachelors,1,Contact Agent
Th50004471,Apartment,1993,2022-04-22,2,11694,906,7 out of 6,Plot Area,Area 175,Surat,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50004472,Apartment,2021,2022-04-09,2,6729,1276,1 out of 11,Carpet Area,Area 633,Nashik,Furnished,Family,3,Contact Agent
Th50004473,Apartment,1990,2022-06-13,3,15535,978,1 out of 7,Built Area,Area 843,Surat,Semi-Furnished,Bachelors,3,Contact Owner
Th50004474,Apartment,2014,2022-04-01,2,9187,1250,1 out of 20,Super Area,Area 508,Hyderabad,Furnished,Family,3,Contact Agent
Th50004475,Apartment,1993,2022-06-05,1,9323,688,9 out of 9,Built Area,Area 459,Vijayawada,Furnished,Bachelors/Family,3,Contact Owner
Th50004476,Apartment,2012,2022-05-16,2,7179,613,4 out of 4,Carpet Area,Area 817,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
Th50004477,Apartment,2003,2022-04-11,1,22302,1311,1 out of 4,Super Area,Area 277,Bhopal,Furnished,Family,2,Contact Owner
Th50004478,Apartment,1994,2022-05-12,1,12762,939,1 out of 16,Carpet Area,Area 221,Aurangabad,Semi-Furnished,Family,3,Contact Owner
Th50004479,Apartment,2005,2022-06-28,3,8308,761,3 out of 12,Carpet Area,Area 574,Surat,Unfurnished,Bachelors/Family,1,Contact Agent
Th50004480,Apartment,2021,2022-06-09,2,21685,1166,4 out of 9,Built Area,Area 565,Gwalior,Furnished,Bachelors,2,Contact Agent
Th50004481,Apartment,2018,2022-07-08,2,13362,1142,8 out of 6,Plot Area,Area 731,Bhopal,Unfurnished,Bachelors/Family,2,Contact Owner
Th50004482,Apartment,2019,2022-04-22,1,7335,1028,8 out of 14,Super Area,Area 924,Patna,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50004483,Apartment,2015,2022-04-29,2,5610,1007,7 out of 18,Plot Area,Area 761,Nashik,Unfurnished,Family,1,Contact Owner
Th50004484,Apartment,2001,2022-06-23,1,7316,770,4 out of 13,Carpet Area,Area 416,Thane,Furnished,Bachelors,1,Contact Owner
Th50004485,Apartment,2021,2022-04-05,2,11483,1040,4 out of 11,Carpet Area,Area 652,Delhi,Furnished,Family,1,Contact Owner
Th50004486,Apartment,1991,2022-06-22,2,11716,586,9 out of 20,Plot Area,Area 642,Varanasi,Semi-Furnished,Family,3,Contact Owner
Th50004487,Apartment,2004,2022-04-01,2,9750,792,10 out of 5,Super Area,Area 190,Agra,Furnished,Bachelors,2,Contact Owner
Th50004488,Apartment,2012,2022-04-09,3,6324,603,9 out of 8,Carpet Area,Area 730,Gwalior,Semi-Furnished,Family,3,Contact Owner
Th50004489,Apartment,2008,2022-04-11,3,8335,596,5 out of 8,Plot Area,Area 741,Patna,Furnished,Family,3,Contact Agent
Th50004490,Apartment,1993,2022-04-29,2,16128,920,3 out of 17,Super Area,Area 848,Noida,Furnished,Family,3,Contact Agent
Th50004491,Apartment,1992,2022-04-22,2,15584,885,5 out of 15,Carpet Area,Area 100,Kolkata,Furnished,Family,2,Contact Owner
Th50004492,Apartment,2006,2022-04-23,1,11818,902,2 out of 16,Plot Area,Area 816,Pune,Unfurnished,Bachelors,2,Contact Agent
Th50004493,Apartment,2011,2022-04-07,1,19301,1234,3 out of 13,Plot Area,Area 214,Ghaziabad,Semi-Furnished,Bachelors,1,Contact Owner
Th50004494,Apartment,2006,2022-05-11,1,2972,553,9 out of 15,Plot Area,Area 600,Nagpur,Furnished,Bachelors/Family,1,Contact Agent
Th50004495,Apartment,2005,2022-05-28,2,10163,1137,10 out of 13,Carpet Area,Area 642,Patna,Semi-Furnished,Bachelors,3,Contact Owner
Th50004496,Apartment,2015,2022-04-24,1,11663,751,4 out of 12,Plot Area,Area 920,Mumbai,Unfurnished,Family,2,Contact Agent
Th50004497,Apartment,2008,2022-07-06,2,4972,725,9 out of 12,Plot Area,Area 260,Delhi,Furnished,Family,1,Contact Owner
Th50004498,Apartment,2012,2022-06-10,2,12512,749,8 out of 13,Carpet Area,Area 412,Nagpur,Furnished,Bachelors/Family,2,Contact Agent
Th50004499,Apartment,2007,2022-04-13,3,15929,1398,5 out of 8,Super Area,Area 550,Coimbatore,Unfurnished,Bachelors,2,Contact Owner
Th50004500,Apartment,2021,2022-06-01,1,8678,1125,7 out of 3,Carpet Area,Area 320,Meerut,Furnished,Bachelors/Family,1,Contact Agent
Th50004501,Apartment,2012,2022-06-26,1,10964,830,7 out of 17,Plot Area,Area 821,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
Th50004502,Apartment,2014,2022-06-05,2,14645,772,6 out of 15,Built Area,Area 991,Rajkot,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50004503,Apartment,2021,2022-04-23,2,11919,778,3 out of 10,Carpet Area,Area 181,Noida,Unfurnished,Bachelors/Family,2,Contact Owner
Th50004504,Apartment,2018,2022-06-27,2,14844,1095,8 out of 13,Built Area,Area 972,Bangalore,Unfurnished,Bachelors,1,Contact Agent
Th50004505,Apartment,2008,2022-05-02,1,11669,1341,10 out of 16,Plot Area,Area 747,Patna,Furnished,Bachelors,3,Contact Agent
Th50004506,Apartment,1990,2022-05-11,3,15103,1122,2 out of 14,Super Area,Area 143,Surat,Unfurnished,Bachelors,3,Contact Agent
Th50004507,Apartment,2010,2022-05-10,1,4842,515,9 out of 16,Plot Area,Area 452,Varanasi,Unfurnished,Bachelors/Family,2,Contact Owner
Th50004508,Apartment,2016,2022-05-04,3,9970,811,7 out of 6,Built Area,Area 871,Nashik,Unfurnished,Family,2,Contact Owner
Th50004509,Apartment,1992,2022-04-20,1,6850,640,2 out of 16,Super Area,Area 632,Jaipur,Unfurnished,Family,3,Contact Agent
Th50004510,Apartment,2008,2022-06-18,3,22340,1301,7 out of 14,Super Area,Area 855,Meerut,Furnished,Bachelors/Family,1,Contact Owner
Th50004511,Apartment,1999,2022-06-27,1,20851,1329,5 out of 8,Super Area,Area 890,Gwalior,Unfurnished,Bachelors,1,Contact Agent
Th50004512,Apartment,2018,2022-06-13,3,8917,1045,7 out of 13,Super Area,Area 757,Delhi,Furnished,Family,1,Contact Owner
Th50004513,Apartment,2001,2022-06-24,3,8291,548,2 out of 8,Built Area,Area 129,Kalyan-Dombivli,Furnished,Family,3,Contact Owner
Th50004514,Apartment,2000,2022-06-10,1,15963,1355,4 out of 17,Built Area,Area 281,Rajkot,Unfurnished,Bachelors,1,Contact Owner
Th50004515,Apartment,2016,2022-04-10,3,14049,726,7 out of 17,Carpet Area,Area 325,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50004516,Apartment,2006,2022-04-07,1,6899,925,9 out of 19,Built Area,Area 166,Bhopal,Unfurnished,Family,1,Contact Owner
Th50004517,Apartment,2006,2022-07-03,2,3644,540,10 out of 9,Plot Area,Area 272,Ludhiana,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50004518,Apartment,2014,2022-07-01,3,10666,628,4 out of 9,Built Area,Area 546,Bangalore,Furnished,Bachelors/Family,1,Contact Agent
Th50004519,Apartment,2016,2022-06-27,3,10996,750,2 out of 13,Carpet Area,Area 947,Ghaziabad,Semi-Furnished,Bachelors,3,Contact Agent
Th50004520,Apartment,2017,2022-06-01,2,18265,1294,5 out of 12,Built Area,Area 671,Rajkot,Furnished,Bachelors,2,Contact Agent
Th50004521,Apartment,2003,2022-06-19,3,19615,1370,3 out of 4,Plot Area,Area 551,Mumbai,Unfurnished,Bachelors,2,Contact Owner
Th50004522,Apartment,2017,2022-04-24,3,4680,726,4 out of 19,Carpet Area,Area 435,Ranchi,Furnished,Bachelors,2,Contact Owner
Th50004523,Apartment,2016,2022-06-03,2,6724,701,6 out of 20,Super Area,Area 999,Ranchi,Unfurnished,Bachelors,3,Contact Owner
Th50004524,Apartment,1990,2022-06-16,2,8843,1007,9 out of 11,Plot Area,Area 741,Gwalior,Semi-Furnished,Bachelors,3,Contact Agent
Th50004525,Apartment,2009,2022-04-02,2,10417,774,1 out of 8,Built Area,Area 128,Nagpur,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50004526,Apartment,2013,2022-04-08,2,3692,606,10 out of 11,Carpet Area,Area 350,Lucknow,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50004527,Apartment,2001,2022-04-25,3,7759,973,10 out of 4,Plot Area,Area 185,Chennai,Semi-Furnished,Bachelors,1,Contact Agent
Th50004528,Apartment,2015,2022-06-15,3,6047,690,2 out of 4,Plot Area,Area 131,Jodhpur,Furnished,Bachelors/Family,2,Contact Agent
Th50004529,Apartment,1995,2022-05-08,2,16731,1099,6 out of 18,Carpet Area,Area 626,Aurangabad,Furnished,Bachelors,1,Contact Owner
Th50004530,Apartment,1994,2022-04-16,2,23601,1245,10 out of 4,Plot Area,Area 573,Visakhapatnam,Furnished,Bachelors,3,Contact Owner
Th50004531,Apartment,1998,2022-07-04,3,6988,1182,7 out of 6,Built Area,Area 283,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50004532,Apartment,1996,2022-06-19,2,12801,815,4 out of 8,Carpet Area,Area 376,Pune,Furnished,Bachelors,2,Contact Agent
Th50004533,Apartment,1998,2022-04-24,2,14411,920,4 out of 20,Super Area,Area 144,Ghaziabad,Unfurnished,Bachelors,3,Contact Owner
Th50004534,Apartment,1994,2022-05-27,2,4289,770,7 out of 8,Plot Area,Area 352,Bhopal,Unfurnished,Bachelors,1,Contact Agent
Th50004535,Apartment,2008,2022-06-27,1,10146,747,4 out of 11,Super Area,Area 685,Kolkata,Furnished,Bachelors,2,Contact Owner
Th50004536,Apartment,2021,2022-06-18,2,14283,1023,4 out of 18,Carpet Area,Area 383,Bangalore,Unfurnished,Family,1,Contact Owner
Th50004537,Apartment,2005,2022-07-05,2,11265,1012,2 out of 13,Built Area,Area 826,Surat,Furnished,Bachelors/Family,2,Contact Owner
Th50004538,Apartment,2007,2022-06-17,3,11521,1312,2 out of 11,Carpet Area,Area 905,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50004539,Apartment,1991,2022-06-14,2,12930,915,3 out of 5,Super Area,Area 965,Vijayawada,Furnished,Bachelors/Family,1,Contact Owner
Th50004540,Apartment,2015,2022-07-04,2,9698,1364,10 out of 3,Plot Area,Area 575,Noida,Furnished,Bachelors,2,Contact Owner
Th50004541,Apartment,2000,2022-06-01,3,10079,906,2 out of 5,Plot Area,Area 554,Meerut,Furnished,Bachelors/Family,1,Contact Agent
Th50004542,Apartment,2014,2022-06-09,1,6692,1264,5 out of 10,Plot Area,Area 196,Ghaziabad,Furnished,Family,2,Contact Agent
Th50004543,Apartment,1998,2022-04-11,2,22479,1169,5 out of 11,Plot Area,Area 257,Chennai,Furnished,Bachelors/Family,3,Contact Owner
Th50004544,Apartment,2010,2022-06-02,3,13578,796,9 out of 16,Super Area,Area 399,Mumbai,Furnished,Family,2,Contact Agent
Th50004545,Apartment,2002,2022-05-10,3,13385,907,3 out of 15,Plot Area,Area 503,Agra,Unfurnished,Family,2,Contact Agent
Th50004546,Apartment,1993,2022-04-21,2,8275,1095,8 out of 5,Carpet Area,Area 509,Bhopal,Furnished,Bachelors,1,Contact Owner
Th50004547,Apartment,1997,2022-06-16,3,20515,1123,8 out of 3,Plot Area,Area 495,Hyderabad,Furnished,Family,1,Contact Agent
Th50004548,Apartment,1992,2022-06-07,1,11299,571,8 out of 6,Built Area,Area 499,Mumbai,Unfurnished,Bachelors,2,Contact Agent
Th50004549,Apartment,1993,2022-05-03,2,21045,1150,8 out of 14,Built Area,Area 743,Meerut,Unfurnished,Bachelors,1,Contact Agent
Th50004550,Apartment,1999,2022-05-03,1,3676,575,6 out of 11,Super Area,Area 235,Amritsar,Semi-Furnished,Family,2,Contact Agent
Th50004551,Apartment,2007,2022-06-13,2,8002,1027,9 out of 18,Plot Area,Area 836,Vijayawada,Semi-Furnished,Bachelors,3,Contact Agent
Th50004552,Apartment,1999,2022-04-20,1,14591,1094,1 out of 16,Carpet Area,Area 349,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner
Th50004553,Apartment,2001,2022-04-25,3,11613,664,8 out of 11,Carpet Area,Area 529,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
Th50004554,Apartment,2006,2022-05-08,3,17304,1400,4 out of 4,Carpet Area,Area 518,Vijayawada,Unfurnished,Bachelors,1,Contact Agent
Th50004555,Apartment,1994,2022-04-10,1,3485,596,10 out of 10,Built Area,Area 945,Rajkot,Furnished,Bachelors,2,Contact Owner
Th50004556,Apartment,2008,2022-04-30,2,13304,986,2 out of 13,Plot Area,Area 863,Noida,Furnished,Family,2,Contact Agent
Th50004557,Apartment,2017,2022-05-27,2,18140,1307,1 out of 8,Plot Area,Area 705,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50004558,Apartment,2019,2022-04-16,2,17906,1068,2 out of 13,Carpet Area,Area 755,Rajkot,Unfurnished,Family,2,Contact Agent
Th50004559,Apartment,2016,2022-05-07,1,12883,914,5 out of 11,Carpet Area,Area 227,Vadodara,Semi-Furnished,Bachelors,1,Contact Agent
Th50004560,Apartment,2018,2022-06-29,2,10908,1006,10 out of 6,Built Area,Area 446,Agra,Unfurnished,Family,2,Contact Owner
Th50004561,Apartment,2010,2022-04-22,3,17919,1071,10 out of 11,Super Area,Area 699,Ludhiana,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50004562,Apartment,2001,2022-06-10,2,7286,736,10 out of 3,Super Area,Area 669,Coimbatore,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50004563,Apartment,1991,2022-06-19,2,7818,534,9 out of 4,Plot Area,Area 288,Ghaziabad,Unfurnished,Family,3,Contact Agent
Th50004564,Apartment,1993,2022-05-11,2,11551,794,8 out of 19,Carpet Area,Area 547,Agra,Unfurnished,Bachelors/Family,1,Contact Agent
Th50004565,Apartment,2013,2022-04-18,3,11164,1260,3 out of 19,Built Area,Area 363,Noida,Unfurnished,Bachelors,3,Contact Owner
Th50004566,Apartment,2000,2022-06-19,2,20236,1034,10 out of 5,Plot Area,Area 623,Lucknow,Furnished,Bachelors/Family,1,Contact Agent
Th50004567,Apartment,2001,2022-06-04,1,6550,598,7 out of 6,Built Area,Area 651,Mumbai,Unfurnished,Family,1,Contact Agent
Th50004568,Apartment,2006,2022-06-08,3,10950,609,4 out of 18,Built Area,Area 538,Nashik,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50004569,Apartment,2013,2022-07-05,3,10230,1209,7 out of 18,Plot Area,Area 640,Agra,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50004570,Apartment,2009,2022-05-11,3,9900,834,4 out of 4,Carpet Area,Area 233,Vadodara,Unfurnished,Bachelors,2,Contact Owner
Th50004571,Apartment,2012,2022-06-13,1,8970,761,8 out of 15,Built Area,Area 857,Indore,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50004572,Apartment,1998,2022-05-22,1,11944,639,10 out of 6,Built Area,Area 400,Vijayawada,Unfurnished,Bachelors,1,Contact Owner
Th50004573,Apartment,2009,2022-04-30,1,12481,946,2 out of 16,Carpet Area,Area 209,Aurangabad,Furnished,Bachelors/Family,1,Contact Agent
Th50004574,Apartment,2008,2022-04-26,2,6536,680,9 out of 3,Plot Area,Area 683,Thane,Unfurnished,Bachelors,3,Contact Owner
Th50004575,Apartment,2000,2022-04-30,3,13831,700,10 out of 20,Carpet Area,Area 495,Kanpur,Unfurnished,Bachelors/Family,3,Contact Agent
Th50004576,Apartment,2016,2022-05-02,3,21393,1206,7 out of 5,Plot Area,Area 978,Indore,Furnished,Family,1,Contact Owner
Th50004577,Apartment,1998,2022-05-01,2,8951,1058,1 out of 10,Carpet Area,Area 644,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
Th50004578,Apartment,1998,2022-05-08,1,5262,1001,7 out of 15,Super Area,Area 746,Thane,Semi-Furnished,Bachelors,1,Contact Agent
Th50004579,Apartment,2008,2022-06-12,2,9037,1162,5 out of 5,Plot Area,Area 550,Faridabad,Unfurnished,Bachelors,2,Contact Owner
Th50004580,Apartment,1993,2022-06-14,1,22669,1295,6 out of 10,Built Area,Area 275,Noida,Furnished,Bachelors/Family,3,Contact Agent
Th50004581,Apartment,2007,2022-06-15,3,17541,1214,10 out of 19,Built Area,Area 111,Lucknow,Semi-Furnished,Bachelors,1,Contact Owner
Th50004582,Apartment,2005,2022-04-08,1,14661,817,7 out of 17,Plot Area,Area 241,Meerut,Unfurnished,Bachelors/Family,1,Contact Agent
Th50004583,Apartment,2019,2022-06-17,3,10832,761,3 out of 14,Plot Area,Area 597,Bhopal,Furnished,Bachelors/Family,1,Contact Owner
Th50004584,Apartment,2011,2022-06-14,1,18167,1137,5 out of 17,Built Area,Area 249,Hyderabad,Unfurnished,Family,1,Contact Agent
Th50004585,Apartment,2011,2022-04-08,2,11584,592,1 out of 14,Carpet Area,Area 842,Bhopal,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50004586,Apartment,1999,2022-05-24,1,23414,1291,5 out of 10,Carpet Area,Area 246,Noida,Unfurnished,Bachelors/Family,1,Contact Agent
Th50004587,Apartment,2004,2022-04-02,3,11950,1289,4 out of 19,Plot Area,Area 409,Varanasi,Unfurnished,Bachelors,2,Contact Owner
Th50004588,Apartment,2018,2022-05-01,1,8470,1008,7 out of 17,Carpet Area,Area 485,Kalyan-Dombivli,Furnished,Family,1,Contact Agent
Th50004589,Apartment,2010,2022-04-03,3,4101,727,1 out of 14,Carpet Area,Area 994,Chennai,Semi-Furnished,Bachelors,2,Contact Owner
Th50004590,Apartment,2001,2022-04-25,2,21215,1200,4 out of 4,Carpet Area,Area 434,Varanasi,Semi-Furnished,Bachelors,3,Contact Agent
Th50004591,Apartment,2005,2022-06-19,3,13591,1186,5 out of 4,Built Area,Area 114,Vadodara,Furnished,Bachelors,3,Contact Agent
Th50004592,Apartment,1994,2022-06-30,3,7013,909,7 out of 17,Carpet Area,Area 566,Mysore,Furnished,Family,2,Contact Owner
Th50004593,Apartment,2012,2022-05-18,2,8667,1243,7 out of 13,Built Area,Area 583,Kalyan-Dombivli,Unfurnished,Bachelors,2,Contact Agent
Th50004594,Apartment,2005,2022-06-29,1,25276,1276,7 out of 3,Super Area,Area 549,Noida,Furnished,Bachelors,2,Contact Agent
Th50004595,Apartment,2014,2022-06-18,1,6005,1051,5 out of 14,Carpet Area,Area 635,Bhopal,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50004596,Apartment,2009,2022-06-25,1,15085,1087,2 out of 4,Super Area,Area 747,Agra,Semi-Furnished,Bachelors,2,Contact Agent
Th50004597,Apartment,2005,2022-05-02,3,7145,560,2 out of 18,Plot Area,Area 914,Kanpur,Furnished,Family,2,Contact Agent
Th50004598,Apartment,2002,2022-04-14,1,17643,1132,3 out of 7,Carpet Area,Area 250,Vadodara,Furnished,Bachelors/Family,3,Contact Owner
Th50004599,Apartment,1999,2022-04-03,2,10870,566,10 out of 11,Carpet Area,Area 764,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Agent
Th50004600,Apartment,1998,2022-06-08,3,22276,1297,3 out of 15,Carpet Area,Area 490,Chennai,Semi-Furnished,Bachelors,1,Contact Agent
Th50004601,Apartment,1995,2022-04-19,2,25033,1260,6 out of 7,Built Area,Area 467,Indore,Unfurnished,Family,3,Contact Agent
Th50004602,Apartment,2015,2022-04-16,1,9597,631,4 out of 17,Plot Area,Area 796,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
Th50004603,Apartment,2001,2022-05-08,3,19702,1354,10 out of 14,Built Area,Area 759,Noida,Unfurnished,Bachelors/Family,3,Contact Agent
Th50004604,Apartment,2011,2022-06-08,3,21787,1293,3 out of 13,Super Area,Area 260,Faridabad,Furnished,Family,3,Contact Owner
Th50004605,Apartment,2013,2022-07-05,1,12200,1368,3 out of 4,Super Area,Area 578,Vadodara,Furnished,Bachelors,3,Contact Owner
Th50004606,Apartment,2013,2022-05-31,2,7286,1346,10 out of 17,Carpet Area,Area 590,Lucknow,Semi-Furnished,Family,3,Contact Agent
Th50004607,Apartment,1991,2022-04-06,1,9348,963,1 out of 11,Super Area,Area 962,Mangalore,Furnished,Family,2,Contact Agent
Th50004608,Apartment,2011,2022-06-14,3,9505,841,4 out of 12,Carpet Area,Area 719,Patna,Unfurnished,Family,3,Contact Owner
Th50004609,Apartment,2018,2022-04-27,3,5885,547,9 out of 3,Super Area,Area 557,Indore,Furnished,Family,1,Contact Agent
Th50004610,Apartment,1994,2022-04-21,3,9431,704,7 out of 19,Carpet Area,Area 124,Agra,Unfurnished,Bachelors/Family,2,Contact Agent
Th50004611,Apartment,2007,2022-04-03,1,5368,788,5 out of 17,Super Area,Area 101,Gwalior,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50004612,Apartment,1994,2022-05-08,2,10474,530,7 out of 11,Super Area,Area 138,Lucknow,Furnished,Bachelors,1,Contact Owner
Th50004613,Apartment,2018,2022-04-10,3,10103,1060,4 out of 16,Carpet Area,Area 547,Mysore,Semi-Furnished,Family,3,Contact Agent
Th50004614,Apartment,2001,2022-06-22,2,10490,1226,7 out of 8,Plot Area,Area 237,Faridabad,Semi-Furnished,Family,2,Contact Agent
Th50004615,Apartment,2019,2022-07-08,1,8675,1347,2 out of 18,Carpet Area,Area 756,Navi Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
Th50004616,Apartment,2014,2022-07-02,1,21443,1176,8 out of 9,Built Area,Area 127,Jaipur,Furnished,Bachelors,2,Contact Owner
Th50004617,Apartment,2009,2022-06-12,3,5441,648,5 out of 5,Plot Area,Area 698,Nagpur,Semi-Furnished,Bachelors,2,Contact Agent
Th50004618,Apartment,2017,2022-05-24,3,10638,631,9 out of 3,Plot Area,Area 933,Amritsar,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50004619,Apartment,1992,2022-05-25,1,9504,985,2 out of 4,Carpet Area,Area 384,Surat,Semi-Furnished,Bachelors,3,Contact Agent
Th50004620,Apartment,2013,2022-07-09,3,18779,975,7 out of 18,Built Area,Area 242,Mysore,Unfurnished,Bachelors,2,Contact Owner
Th50004621,Apartment,2016,2022-05-16,3,12855,664,10 out of 8,Carpet Area,Area 489,Mumbai,Unfurnished,Bachelors,2,Contact Owner
Th50004622,Apartment,2006,2022-05-11,3,20523,1056,7 out of 11,Plot Area,Area 926,Bhopal,Unfurnished,Bachelors/Family,3,Contact Agent
Th50004623,Apartment,1991,2022-04-08,3,22783,1393,5 out of 10,Plot Area,Area 716,Ghaziabad,Unfurnished,Bachelors/Family,3,Contact Agent
Th50004624,Apartment,1996,2022-04-30,2,10760,991,8 out of 7,Super Area,Area 139,Varanasi,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50004625,Apartment,1993,2022-06-12,3,7889,1185,9 out of 13,Super Area,Area 387,Meerut,Semi-Furnished,Bachelors,3,Contact Owner
Th50004626,Apartment,2015,2022-05-28,1,3414,631,10 out of 10,Super Area,Area 532,Kalyan-Dombivli,Furnished,Bachelors/Family,3,Contact Agent
Th50004627,Apartment,2010,2022-04-19,3,10106,650,8 out of 20,Built Area,Area 569,Nashik,Unfurnished,Bachelors,2,Contact Agent
Th50004628,Apartment,1990,2022-07-01,2,15709,987,7 out of 10,Super Area,Area 185,Rajkot,Unfurnished,Family,2,Contact Agent
Th50004629,Apartment,1990,2022-07-03,1,8918,1320,9 out of 3,Super Area,Area 317,Chennai,Unfurnished,Bachelors,1,Contact Owner
